Day,harry potter: (Worldwide)
2016-01-01,54
2016-01-02,58
2016-01-03,59
2016-01-04,59
2016-01-05,55
2016-01-06,52
2016-01-07,47
2016-01-08,51
2016-01-09,54
2016-01-10,55
2016-01-11,47
2016-01-12,49
2016-01-13,46
2016-01-14,100
2016-01-15,93
2016-01-16,75
2016-01-17,73
2016-01-18,68
2016-01-19,68
2016-01-20,62
2016-01-21,54
2016-01-22,56
2016-01-23,57
2016-01-24,55
2016-01-25,59
2016-01-26,52
2016-01-27,53
2016-01-28,50
2016-01-29,49
2016-01-30,55
2016-01-31,62
2016-02-01,55
2016-02-02,51
2016-02-03,48
2016-02-04,48
2016-02-05,46
2016-02-06,48
2016-02-07,55
2016-02-08,47
2016-02-09,50
2016-02-10,54
2016-02-11,52
2016-02-12,51
2016-02-13,51
2016-02-14,55
2016-02-15,51
2016-02-16,50
2016-02-17,50
2016-02-18,48
2016-02-19,47
2016-02-20,52
2016-02-21,52
2016-02-22,45
2016-02-23,47
2016-02-24,46
2016-02-25,42
2016-02-26,48
2016-02-27,49
2016-02-28,56
2016-02-29,47
2016-03-01,46
2016-03-02,45
2016-03-03,44
2016-03-04,46
2016-03-05,49
2016-03-06,59
2016-03-07,50
2016-03-08,45
2016-03-09,43
2016-03-10,45
2016-03-11,47
2016-03-12,53
2016-03-13,60
2016-03-14,47
2016-03-15,45
2016-03-16,44
2016-03-17,47
2016-03-18,50
2016-03-19,54
2016-03-20,45
2016-03-21,47
2016-03-22,45
2016-03-23,46
2016-03-24,48
2016-03-25,53
2016-03-26,53
2016-03-27,52
2016-03-28,59
2016-03-29,47
2016-03-30,48
2016-03-31,44
2016-04-01,49
2016-04-02,49
2016-04-03,49
2016-04-04,49
2016-04-05,48
2016-04-06,51
2016-04-07,51
2016-04-08,55
2016-04-09,55
2016-04-10,57
2016-04-11,67
2016-04-12,62
2016-04-13,61
2016-04-14,53
2016-04-15,63
2016-04-16,60
2016-04-17,64
2016-04-18,56
2016-04-19,49
2016-04-20,50
2016-04-21,48
2016-04-22,47
2016-04-23,61
2016-04-24,53
2016-04-25,48
2016-04-26,50
2016-04-27,52
2016-04-28,52
2016-04-29,51
2016-04-30,61
2016-05-01,58
2016-05-02,59
2016-05-03,49
2016-05-04,49
2016-05-05,53
2016-05-06,53
2016-05-07,56
2016-05-08,61
2016-05-09,57
2016-05-10,54
2016-05-11,53
2016-05-12,52
2016-05-13,55
2016-05-14,68
2016-05-15,73
2016-05-16,67
2016-05-17,55
2016-05-18,53
2016-05-19,54
2016-05-20,54
2016-05-21,55
2016-05-22,62
2016-05-23,53
2016-05-24,52
2016-05-25,49
2016-05-26,51
2016-05-27,52
2016-05-28,57
2016-05-29,61
2016-05-30,56
2016-05-31,57
2016-06-01,57
2016-06-02,64
2016-06-03,52
2016-06-04,59
2016-06-05,66
2016-06-06,58
2016-06-07,55
2016-06-08,67
2016-06-09,53
2016-06-10,53
2016-06-11,66
2016-06-12,63
2016-06-13,51
2016-06-14,54
2016-06-15,51
2016-06-16,54
2016-06-17,53
2016-06-18,53
2016-06-19,53
2016-06-20,49
2016-06-21,47
2016-06-22,53
2016-06-23,45
2016-06-24,55
2016-06-25,55
2016-06-26,60
2016-06-27,54
2016-06-28,54
2016-06-29,56
2016-06-30,55
